Date,B2_LST
30/06/2016 10:30,-9999
01/07/2016 10:30,19.5643558502197
03/07/2016 10:30,23.0647964477539
04/07/2016 10:30,24.3062686920166
05/07/2016 10:30,-9999
07/07/2016 10:30,27.6723880767822
09/07/2016 10:30,-9999
10/07/2016 10:30,26.3398628234863
11/07/2016 10:30,-9999
12/07/2016 10:30,-9999
13/07/2016 10:30,-9999
14/07/2016 10:30,-9999
15/07/2016 10:30,16.6949443817139
16/07/2016 10:30,18.7317142486572
17/07/2016 10:30,21.234733581543
18/07/2016 10:30,27.8852462768555
19/07/2016 10:30,27.634973526001
20/07/2016 10:30,28.2622356414795
24/07/2016 10:30,-9999
25/07/2016 10:30,-9999
26/07/2016 10:30,-9999
27/07/2016 10:30,-9999
28/07/2016 10:30,-9999
29/07/2016 10:30,20.6666774749756
01/08/2016 10:30,-9999
03/08/2016 10:30,24.4315910339355
04/08/2016 10:30,23.4843444824219
06/08/2016 10:30,14.2946348190308
07/08/2016 10:30,23.3580322265625
08/08/2016 10:30,23.5091972351074
10/08/2016 10:30,15.9129257202148
11/08/2016 10:30,-9999
13/08/2016 10:30,23.1177253723145
14/08/2016 10:30,25.0137195587158
15/08/2016 10:30,16.8144855499268
16/08/2016 10:30,22.0927829742432
17/08/2016 10:30,-9999
18/08/2016 10:30,-9999
19/08/2016 10:30,-9999
21/08/2016 10:30,18.9559173583984
23/08/2016 10:30,25.5485858917236
24/08/2016 10:30,26.0594158172607
25/08/2016 10:30,26.150785446167
26/08/2016 10:30,26.9578304290771
27/08/2016 10:30,25.3690357208252
28/08/2016 10:30,26.3755989074707
29/08/2016 10:30,-9999
31/08/2016 10:30,-9999
01/09/2016 10:30,-9999
02/09/2016 10:30,22.3258647918701
05/09/2016 10:30,-9999
06/09/2016 10:30,19.5214023590088
07/09/2016 10:30,22.1923885345459
08/09/2016 10:30,23.7129878997803
09/09/2016 10:30,25.7960872650146
11/09/2016 10:30,-9999
12/09/2016 10:30,21.6819400787354
13/09/2016 10:30,23.6060237884521
14/09/2016 10:30,23.4220676422119
19/09/2016 10:30,-9999
20/09/2016 10:30,20.3998584747314
21/09/2016 10:30,17.8280944824219
22/09/2016 10:30,19.1289482116699
24/09/2016 10:30,20.1983623504639
25/09/2016 10:30,21.215856552124
26/09/2016 10:30,20.137903213501
27/09/2016 10:30,-9999
30/09/2016 10:30,20.4860553741455
02/10/2016 10:30,-9999
03/10/2016 10:30,-9999
04/10/2016 10:30,15.8194665908813
05/10/2016 10:30,16.5380725860596
06/10/2016 10:30,-9999
07/10/2016 10:30,-9999
08/10/2016 10:30,17.4322547912598
09/10/2016 10:30,-9999
10/10/2016 10:30,-9999
11/10/2016 10:30,-9999
12/10/2016 10:30,8.3127269744873
13/10/2016 10:30,-9999
15/10/2016 10:30,-9999
16/10/2016 10:30,16.3583087921143
18/10/2016 10:30,13.8187885284424
20/10/2016 10:30,13.1306734085083
21/10/2016 10:30,-9999
22/10/2016 10:30,-9999
23/10/2016 10:30,-9999
27/10/2016 10:30,13.6671714782715
29/10/2016 10:30,18.7017402648926
30/10/2016 10:30,16.9340076446533
31/10/2016 10:30,14.8831052780151
02/04/2017 10:30,13.4203462600708
03/04/2017 10:30,-9999
05/04/2017 10:30,-9999
06/04/2017 10:30,12.9991455078125
07/04/2017 10:30,19.8264656066895
08/04/2017 10:30,22.0352439880371
09/04/2017 10:30,24.7666416168213
10/04/2017 10:30,18.0772342681885
11/04/2017 10:30,-9999
12/04/2017 10:30,22.9173641204834
13/04/2017 10:30,18.5027523040771
14/04/2017 10:30,24.7011337280273
15/04/2017 10:30,-9999
16/04/2017 10:30,-9999
17/04/2017 10:30,-9999
18/04/2017 10:30,-9999
19/04/2017 10:30,-9999
20/04/2017 10:30,11.268102645874
21/04/2017 10:30,18.0372829437256
23/04/2017 10:30,22.043586730957
25/04/2017 10:30,-9999
28/04/2017 10:30,-9999
29/04/2017 10:30,-9999
30/04/2017 10:30,19.0265827178955
02/05/2017 10:30,13.0035915374756
04/05/2017 10:30,-9999
05/05/2017 10:30,16.3554077148438
07/05/2017 10:30,-9999
08/05/2017 10:30,-9999
09/05/2017 10:30,19.0226802825928
10/05/2017 10:30,18.8015213012695
11/05/2017 10:30,-9999
12/05/2017 10:30,-9999
13/05/2017 10:30,-9999
14/05/2017 10:30,-9999
16/05/2017 10:30,24.3165321350098
17/05/2017 10:30,24.3231601715088
19/05/2017 10:30,-9999
21/05/2017 10:30,22.4883823394775
22/05/2017 10:30,23.3471508026123
23/05/2017 10:30,26.1810722351074
25/05/2017 10:30,24.4301052093506
26/05/2017 10:30,26.058780670166
27/05/2017 10:30,27.8727684020996
28/05/2017 10:30,28.4417762756348
30/05/2017 10:30,26.9114608764648
31/05/2017 10:30,22.8743114471436
01/06/2017 10:30,24.082145690918
02/06/2017 10:30,-9999
03/06/2017 10:30,-9999
04/06/2017 10:30,-9999
07/06/2017 10:30,20.2798480987549
08/06/2017 10:30,-9999
10/06/2017 10:30,23.976505279541
11/06/2017 10:30,26.7305545806885
12/06/2017 10:30,-9999
15/06/2017 10:30,27.9169387817383
16/06/2017 10:30,-9999
17/06/2017 10:30,25.1670398712158
18/06/2017 10:30,26.8331737518311
19/06/2017 10:30,28.777660369873
20/06/2017 10:30,21.4471473693848
22/06/2017 10:30,32.9492530822754
23/06/2017 10:30,-9999
24/06/2017 10:30,-9999
25/06/2017 10:30,-9999
26/06/2017 10:30,27.5557250976562
27/06/2017 10:30,19.3757934570312
28/06/2017 10:30,-9999
29/06/2017 10:30,-9999
30/06/2017 10:30,-9999
01/07/2017 10:30,19.2802848815918
